event_id,event_group,event_type,description,window_label,formal_car_sp500,n_obs,expected_return,estimation_n_obs,estimation_sufficient_data,volatility_sp500,volatility_nasdaq,volatility_shanghai,n_obs_sp500_return,car_sign,abs_formal_car_sp500
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,m3_p3,0.0120249625554622,7,0.0006458150303083,25,True,0.0034500692019479,0.0039464010542115,0.0089783373568095,7,positive,0.0120249625554622
E06,escalation,tariff_implementation,Second tranche of bilateral tariffs enters into force,m5_p5,0.0219553317167309,11,0.0006458150303083,25,True,0.0039956611994585,0.0042249379420808,0.0103757632963338,11,positive,0.0219553317167309
E07,escalation,tariff_implementation,US implements tariffs on 200 billion dollars of Chinese imports,m1_p1,-0.0073601123371882,3,0.0007235984836293,25,True,0.0016159851941799,0.0037418233105302,0.0218120375417373,3,negative,0.0073601123371882
E07,escalation,tariff_implementation,US implements tariffs on 200 billion dollars of Chinese imports,m3_p3,-0.0016866326758083,7,0.0007235984836293,25,True,0.0039595700339047,0.0051163280332734,0.0119427729933409,7,negative,0.0016866326758083
E07,escalation,tariff_implementation,US implements tariffs on 200 billion dollars of Chinese imports,m5_p5,-0.0011474992210981,11,0.0007235984836293,25,True,0.0040569330864082,0.0066027620992429,0.0121230249976252,11,negative,0.0011474992210981
E08,relief,suspension,US postpones the scheduled increase of List 3 tariffs,m1_p1,-0.0274834051298507,3,-0.0011993383827554,25,True,0.0090492154446789,0.0138154142114619,0.0026563893782602,3,negative,0.0274834051298507
E08,relief,suspension,US postpones the scheduled increase of List 3 tariffs,m3_p3,-0.1102467244752972,7,-0.0011993383827554,25,True,0.0084630060153778,0.010956604099387,0.006827721955366,7,negative,0.1102467244752972
E08,relief,suspension,US postpones the scheduled increase of List 3 tariffs,m5_p5,-0.0420733740178481,11,-0.0011993383827554,25,True,0.021737494590659,0.0251610581083994,0.0078594914298941,11,negative,0.0420733740178481
E09,relief,suspension,US extends the suspension of the planned List 3 tariff hike,m1_p1,-0.0186950741214168,3,0.0023862947174014,25,True,0.0026964548624204,0.0047722472382159,0.00347974144762,3,negative,0.0186950741214168
E09,relief,suspension,US extends the suspension of the planned List 3 tariff hike,m3_p3,-0.034427847120228,7,0.0023862947174014,25,True,0.0048326530984763,0.0064025449564023,0.021295326515032,7,negative,0.034427847120228
E09,relief,suspension,US extends the suspension of the planned List 3 tariff hike,m5_p5,-0.0276881724020866,11,0.0023862947174014,25,True,0.00639961519126,0.0085256580130746,0.0178108470890432,11,negative,0.0276881724020866
E10,escalation,tariff_increase,US raises List 3 tariffs from 10 percent to 25 percent,m1_p1,-0.0281650110662598,3,0.0015777753949022,25,True,0.0145299482503359,0.0188875186926346,0.0256652859125354,3,negative,0.0281650110662598
E10,escalation,tariff_increase,US raises List 3 tariffs from 10 percent to 25 percent,m3_p3,-0.038738269733784,7,0.0015777753949022,25,True,0.0120364052215643,0.0165208912545154,0.0177317758929482,7,negative,0.038738269733784
E10,escalation,tariff_increase,US raises List 3 tariffs from 10 percent to 25 percent,m5_p5,-0.0368241265916631,11,0.0015777753949022,25,True,0.0108187072065602,0.014979427393659,0.0247855317329012,11,negative,0.0368241265916631
E11,escalation,tariff_announcement,USTR formalizes List 4 tariffs on about 300 billion dollars of Chinese imports,m1_p1,0.0161266173956693,3,-0.0012295603029301,25,True,0.010621609059988,0.0106628822673285,0.0124118112474056,3,positive,0.0161266173956693
E11,escalation,tariff_announcement,USTR formalizes List 4 tariffs on about 300 billion dollars of Chinese imports,m3_p3,0.0114828396780554,7,-0.0012295603029301,25,True,0.013926456921391,0.0158110972630093,0.0075394792073555,7,positive,0.0114828396780554
E11,escalation,tariff_announcement,USTR formalizes List 4 tariffs on about 300 billion dollars of Chinese imports,m5_p5,0.0100198233996227,11,-0.0012295603029301,25,True,0.0154326325849175,0.0172545086334771,0.0087703829240156,11,positive,0.0100198233996227
E12,escalation,tariff_increase,US raises the planned List 4 tariff rate from 10 percent to 15 percent,m1_p1,0.0091373758148273,3,-0.0009021324237525,25,True,0.0098790765764222,0.0131130575245168,0.0019699361002723,3,positive,0.0091373758148273
E12,escalation,tariff_increase,US raises the planned List 4 tariff rate from 10 percent to 15 percent,m3_p3,0.0399400978948038,7,-0.0009021324237525,25,True,0.0080349861478014,0.0107309765186675,0.0065493941380606,7,positive,0.0399400978948038
E12,escalation,tariff_increase,US raises the planned List 4 tariff rate from 10 percent to 15 percent,m5_p5,0.0294018734644835,11,-0.0009021324237525,25,True,0.0114414705965807,0.0138331905255345,0.0071879877163366,11,positive,0.0294018734644835
E13,escalation,tariff_implementation,List 4A tariffs enter into force on Chinese imports,m1_p1,0.0096645155019688,3,-0.0016929165130266,25,True,0.0089036985329052,0.0121642174808368,0.0055564124869831,3,positive,0.0096645155019688
E13,escalation,tariff_implementation,List 4A tariffs enter into force on Chinese imports,m3_p3,0.0495893723092603,7,-0.0016929165130266,25,True,0.0074832626181818,0.0105307533592721,0.0051465705729031,7,positive,0.0495893723092603
E13,escalation,tariff_implementation,List 4A tariffs enter into force on Chinese imports,m5_p5,0.0643691395559382,11,-0.0016929165130266,25,True,0.0069296590688187,0.0093039787922167,0.0072777666039837,11,positive,0.0643691395559382
E14,relief,agreement,US and China announce a Phase One trade agreement,m1_p1,0.0130158311219754,3,0.0009265872390297,25,True,0.0045532231387882,0.003678428187425,0.0104553875005594,3,positive,0.0130158311219754
E14,relief,agreement,US and China announce a Phase One trade agreement,m3_p3,0.011023698164197,7,0.0009265872390297,25,True,0.0038899762981059,0.0036738509324567,0.007717249934225,7,positive,0.011023698164197
E14,relief,agreement,US and China announce a Phase One trade agreement,m5_p5,0.0226943252297489,11,0.0009265872390297,25,True,0.0041721663490046,0.0043646974006108,0.0066973590305265,11,positive,0.0226943252297489
E15,relief,suspension,US suspends planned December tariffs under the Phase One deal,m1_p1,0.0022386309601658,3,0.0007078843663903,25,True,0.0026307238004805,0.003458289786599,0.0079190922987097,3,positive,0.0022386309601658
E15,relief,suspension,US suspends planned December tariffs under the Phase One deal,m3_p3,0.0124383852405915,7,0.0007078843663903,25,True,0.0029794367382424,0.0031788230219444,0.0107241322585805,7,positive,0.0124383852405915
E15,relief,suspension,US suspends planned December tariffs under the Phase One deal,m5_p5,0.0260229500657534,11,0.0007078843663903,25,True,0.0031763542592487,0.0031027324943469,0.0087947884964175,11,positive,0.0260229500657534
E16,relief,agreement,US and China sign the Phase One trade agreement,m1_p1,0.0050635851339995,3,0.0012195440013929,25,True,0.0050215351993319,0.006806153241001,0.0014334569946598,3,positive,0.0050635851339995
E16,relief,agreement,US and China sign the Phase One trade agreement,m3_p3,0.0055166302924706,7,0.0012195440013929,25,True,0.004588852463093,0.0058056863561093,0.0065967109039929,7,positive,0.0055166302924706
E16,relief,agreement,US and China sign the Phase One trade agreement,m5_p5,0.0136262209449623,11,0.0012195440013929,25,True,0.0039723588028673,0.0049588527744902,0.0105230622312635,11,positive,0.0136262209449623
E17,relief,tariff_reduction,US cuts the List 4A tariff rate from 15 percent to 7.5 percent,m1_p1,-0.0069961283731409,3,0.001429757773294,25,True,0.0024638058615839,0.0017093723015056,0.0055758871603983,3,negative,0.0069961283731409
E17,relief,tariff_reduction,US cuts the List 4A tariff rate from 15 percent to 7.5 percent,m3_p3,-0.0036737743293481,7,0.001429757773294,25,True,0.0038766407206059,0.0055711251281416,0.008328297441855,7,negative,0.0036737743293481
E17,relief,tariff_reduction,US cuts the List 4A tariff rate from 15 percent to 7.5 percent,m5_p5,-0.0514989909887101,11,0.001429757773294,25,True,0.0113851353527801,0.0139412538642323,0.0067522681541025,11,negative,0.0514989909887101
